1923:chi,Hunk Anderson,Hugh Blacklock,George Bolan,Johnny Bryan,Gus Fetz,Jim Flaherty,Hec Garvey,George Halas,Duke Hanny,Ed Healey,Oscar Knop,Joe LaFleur,Jake Lanum,Frank Rydzewski,Ralph Scott,Dutch Sternaman,Joey Sternaman,George Trafton,Lou Usher
1923:cst,ERROR
1923:ely,ERROR
1923:abu,ERROR
1923:log,ERROR
1923:stp,ERROR
1923:gb,ERROR
1923:dhr,ERROR
1923:akr,Frank Bacon,Wayne Brenkert,George Brown,Carl Cramer,Red Daum,Bill Edgar,Jim Flower,Art Haley,Isham Hardy,Dutch Hendrian,Walt LeJeune,Grover Malone,Al Michaels,Joe Mills,Al Nesser,Red Roberts,Les Scott,Ed Shaw,Hugh Sprinkle,Charlie Stewart,Dutch Wallace,Milt Wilson
1923:ftw,ERROR
1923:bff,Pete Bahan,Scotty Bierce,Glenn Carberry,Bunny Corcoran,Frank Culver,Bill Edgar,Jack Flavin,Fred Foster,Gil Gregory,Mike Gulian,Tommy Holleran,Tommy Hughitt,Tex Kelly,John Mahoney,Roy Martineau,Elmer McCormick,Frank Morrissey,Vince Mulvey,Bob Nash,Ben Roderick,Johnny Scott,Pat Smith,Gus Sonnenberg,Carl Thomas,Mike Trainor,Luke Urban,Swede Youngstrom
1923:tlm,ERROR
1923:zan,ERROR
1923:ccl,ERROR
1923:oor,Napoleon Barrel,Peter Blackbear,Leon Boutwell,Ted Buffalo,Pete Calac,Xavier Downwind,Joe Guyon,Al Jolley,Nick Lassa,Chim Lingrel,Joe Little Twig,Ted Lone Wolf,Emmett McLemore,Ed Nason,Bill Newashe,Joe Pappio,Stan Powell,Jack Thorpe,Jim Thorpe,Woodchuck Welmas
1923:sla,Roy Andrews,John Cardwell,Pete Casey,James Finnegan,Jack Gray,Dick King,Ollie Kraehe,Walt Kreinheder,Ward Meese,George Meinhardt,Johnny Milton,Bill Murrah,Orville Siegfried,Eber Simpson,Brick Travis,Bub Weller,Hal Wilder,Ernie Winburn,Lee Wykoff
1923:cbd,Bird Carroll,Guy Chamberlin,Rudy Comstock,Larry Conover,Doc Elliott,Tex Grigg,Dutch Hendrian,Pete Henry,Ben Jones,Link Lyman,Vern Mullen,Duke Osborn,Harry Robb,Wooky Roberts,Ben Roderick,Ben Shaw,Russ Smith,Lou Smyth,Dutch Speck,Joe Williams
1923:mun,ERROR
1923:cwp,ERROR
1923:rck,ERROR
1923:ari,ERROR
1923:mnn,Adrian Baril,Oscar Christianson,Ainer Cleve,Danny Coughlin,Paul Flinn,Bob Fosdick,Dutch Gaustad,Hal Hanson,Dick Hudson,Bill Irgens,Ave Kaplan,George Kramer,Harry Mehre,Louie Mohs,Louie Pahl,Eber Sampson,Rudy Tersch,Festus Tierney
1923:tho,ERROR
1923:ng1,ERROR
1923:dul,Roddy Dunn,Wally Gilbert,Ira Haaven,Ken Harris,Art Johnson,Howard Kieley,Mickey MacDonnell,John Madigan,Russ Method,Red Morse,Dick O'Donnell,Bill Rooney,Joe Rooney,Bill Stein,Joey Sternaman,Doc Williams
1923:ton,ERROR
1923:wbu,ERROR
1923:wgc,ERROR
1923:gar,ERROR
1923:ros,ERROR
1923:rii,John Armstrong,Joe Bernstein,Sol Butler,Forrest Cotton,Frank DeClerk,Bill Giaver,Alex Gorgal,Max Kadesky,Louie Kolls,Waddy Kuehl,Walter Lowe,Charlie Lungren,Bob Phelan,Herb Sies,Duke Slater,Hank Smith,George Thompson,Harry Webber,Mike Wilson
1923:ftp,ERROR
1923:mnm,ERROR
1923:cti,ERROR
1923:cnc,ERROR
1923:lan,ERROR
1923:lou,Chase Boldt,Austin Brunklacher,Al Espie,Salem Ford,Dick Gibson,Patsy Giugliano,Herb Gruber,Austin Higgins,Bob Karch,Jim Kendrick,Charlie Lanham,Russell Meredith,Charlie Olmstead,Bo Otto,John Quast,Earl Reiser,John Rowan,Jimmy Van Dyke,George Wanless,Robert White,Hubert Wiggs
1923:kew,ERROR
1923:uap,ERROR
1923:atn,ERROR
1923:dti,ERROR
1923:rac,Shorty Barr,A.C. Bauer,Jimmy Baxter,Art Braman,Chuck Dressen,Al Elliott,Bob Foster,Hank Gillo,Earl Gorman,Death Halladay,George Hartong,Fritz Heinisch,Jack Hueller,Irv Langhoff,Bill McCaw,Paul Meyers,Candy Miller,John Mintun,Al Pierotti,Fritz Roeseler,Milt Romney,Len Smith,Howard Stark,Rollie Williams
1923:syr,ERROR
1923:wja,ERROR
1923:mut,ERROR
1923:ecg,ERROR
1923:mil,Russ Blailock,Jimmy Conzelman,Dinger Doane,John Dooley,Hal Erickson,Frank Jordan,Ojay Larson,Marv Mattox,Larry McGinnis,Bo McMillin,Johnny Milton,George Mooney,Peaches Nadolney,Al Pierotti,Ed Rate,Dick Reichle,Lenny Sachs,Russ Smith,Bill Strickland,Jim Turner,John Underwood,Roy Vassau,Ad Wenke,Chet Widerquist,Ben Winkelman
1923:col,Elliott Bonowitz,Paul Goebel,Gus Goetz,Ray Hanson,Jack Heldt,Wilmer Isabel,Joe Mulbarger,Andy Nemecek,Bill Passuelo,Harry Randolph,Bob Rapp,Homer Ruh,John Sack,Lee Snoots,Gus Sonnenberg,Pete Stinchcomb,Gus Tebell,Red Weaver,Sonny Winters
1923:rch,Will Anderson,Bob Argus,Joe Bachmaier,Hugh Bancroft,Hal Clark,Red Emslie,Fred Foster,Mike Gavagan,Cy Kasper,Jim Leonard,Darby Lowery,Frank Matteo,Joe McShea,Jerry Noonan,Leo Peyton,Spin Roy,Shag Sheard,Hank Smith,Gordon Wallace,Jim Welsh,Ray Witter,Jimmy Woods
1923:day,Fay Abbott,Frank Bacon,John Beasley,Bobby Berns,Earl Burgner,Ken Crawford,Larry Dellinger,Harold Fenner,Russ Hathaway,Ken Huffine,Al Jolley,Hobby Kinderdine,Walt Kinderdine,Lou Partlow,Dave Reese,Ed Sauer,Dutch Thiele,Glenn Tidd
1923:clp,ERROR
1923:chb,ERROR
1923:cht,ERROR
1923:uti,ERROR
1923:ham,Dunc Annan,George Berry,Sol Butler,Lloyd Cearing,John Detwiler,Carl Hanke,Wally Hess,Oscar Knop,Bill Kovacsy,Swede Larson,Russ Oltz,Fritz Pollard,Elliott Risley,Ed Robinson,Frank Rydzewski,Walt Sechrist,Ed Seibert,Wilfred Smith,Steve Sullivan,Dave Tallant,Lou Usher,Inky Williams
1923:pul,ERROR
